Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
0,-2.312418e-08,0.000000e+00,inf,9.999999e-01,1.000000e+00,5.960464e-08,-2.312418e-08,0.000000e+00,inf
1,1.745229e-02,1.745241e-02,6.830536e-06,9.998478e-01,9.998477e-01,-1.192274e-07,1.745494e-02,1.745507e-02,7.042917e-06
2,3.489951e-02,3.489950e-02,-5.337169e-07,9.993908e-01,9.993908e-01,0.000000e+00,3.492079e-02,3.492077e-02,-4.267134e-07
3,5.233587e-02,5.233596e-02,1.708328e-06,9.986295e-01,9.986295e-01,0.000000e+00,5.240769e-02,5.240778e-02,1.705986e-06
4,6.975653e-02,6.975647e-02,-8.544676e-07,9.975640e-01,9.975641e-01,1.195004e-07,6.992687e-02,6.992681e-02,-8.523861e-07
5,8.715569e-02,8.715574e-02,5.129150e-07,9.961948e-01,9.961947e-01,-1.196646e-07,8.748860e-02,8.748866e-02,6.812842e-07
6,1.045286e-01,1.045285e-01,-9.266141e-07,9.945219e-01,9.945219e-01,5.993296e-08,1.051043e-01,1.051042e-01,-9.215380e-07
7,1.218693e-01,1.218693e-01,6.113580e-08,9.925461e-01,9.925461e-01,0.000000e+00,1.227846e-01,1.227846e-01,0.000000e+00
8,1.391730e-01,1.391731e-01,7.494848e-07,9.902682e-01,9.902681e-01,-1.805712e-07,1.405407e-01,1.405408e-01,9.542454e-07
9,1.564345e-01,1.564345e-01,-2.857649e-07,9.876883e-01,9.876884e-01,6.034762e-08,1.583845e-01,1.583844e-01,-3.763289e-07
10,1.736481e-01,1.736482e-01,1.716247e-07,9.848078e-01,9.848077e-01,-1.210483e-07,1.763269e-01,1.763270e-01,2.535261e-07
11,1.908090e-01,1.908090e-01,-1.561893e-07,9.816272e-01,9.816272e-01,0.000000e+00,1.943803e-01,1.943803e-01,-1.533197e-07
12,2.079116e-01,2.079117e-01,3.583531e-07,9.781477e-01,9.781476e-01,-1.218725e-07,2.125565e-01,2.125566e-01,4.907311e-07
13,2.249510e-01,2.249510e-01,3.312090e-07,9.743701e-01,9.743701e-01,0.000000e+00,2.308681e-01,2.308682e-01,3.872641e-07
14,2.419219e-01,2.419219e-01,1.231898e-07,9.702958e-01,9.702957e-01,-6.142936e-08,2.493280e-01,2.493280e-01,1.792959e-07
15,2.588190e-01,2.588190e-01,2.302947e-07,9.659259e-01,9.659258e-01,-6.170727e-08,2.679491e-01,2.679492e-01,3.336713e-07
16,2.756374e-01,2.756374e-01,-2.162430e-07,9.612616e-01,9.612617e-01,6.200668e-08,2.867455e-01,2.867454e-01,-3.117992e-07
17,2.923717e-01,2.923717e-01,0.000000e+00,9.563048e-01,9.563048e-01,-6.232808e-08,3.057306e-01,3.057307e-01,9.747901e-08
18,3.090168e-01,3.090170e-01,5.786540e-07,9.510567e-01,9.510565e-01,-1.253441e-07,3.249195e-01,3.249197e-01,7.337769e-07
19,3.255682e-01,3.255681e-01,-1.830789e-07,9.455187e-01,9.455186e-01,-1.260782e-07,3.443276e-01,3.443276e-01,-8.655223e-08
20,3.420200e-01,3.420201e-01,3.485447e-07,9.396926e-01,9.396926e-01,0.000000e+00,3.639701e-01,3.639702e-01,3.275248e-07
21,3.583680e-01,3.583679e-01,-8.316124e-08,9.335803e-01,9.335804e-01,6.384522e-08,3.838641e-01,3.838640e-01,-1.552754e-07
