Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
1.000000e-03,1.744489e-05,1.745329e-05,4.817025e-04,9.999999e-01,1.000000e+00,5.945234e-08,1.744489e-05,1.745329e-05,4.815985e-04
2.000000e-03,3.488859e-05,3.490658e-05,5.154698e-04,9.999999e-01,1.000000e+00,5.899541e-08,3.488860e-05,3.490658e-05,5.153662e-04
3.000000e-03,5.233229e-05,5.235988e-05,5.268296e-04,9.999999e-01,1.000000e+00,5.823387e-08,5.233230e-05,5.235988e-05,5.267615e-04
4.000000e-03,6.984257e-05,6.981317e-05,-4.211597e-04,9.999999e-01,1.000000e+00,5.716771e-08,6.984258e-05,6.981317e-05,-4.212615e-04
5.000000e-03,8.728628e-05,8.726646e-05,-2.271017e-04,9.999999e-01,1.000000e+00,5.579693e-08,8.728629e-05,8.726646e-05,-2.271813e-04
6.000000e-03,1.047300e-04,1.047198e-04,-9.766053e-05,9.999999e-01,1.000000e+00,5.412153e-08,1.047300e-04,1.047198e-04,-9.772452e-05
7.000000e-03,1.221737e-04,1.221730e-04,-5.262343e-06,9.999999e-01,1.000000e+00,5.214152e-08,1.221737e-04,1.221730e-04,-5.373989e-06
8.000000e-03,1.396174e-04,1.396263e-04,6.408814e-05,9.999999e-01,1.000000e+00,4.985689e-08,1.396174e-04,1.396263e-04,6.399367e-05
9.000000e-03,1.570611e-04,1.570796e-04,1.180271e-04,9.999999e-01,1.000000e+00,4.726764e-08,1.570611e-04,1.570796e-04,1.179468e-04
1.000000e-02,1.745048e-04,1.745329e-04,1.611781e-04,9.999999e-01,1.000000e+00,4.437377e-08,1.745048e-04,1.745329e-04,1.611099e-04
1.100000e-02,1.920151e-04,1.919862e-04,-1.503625e-04,9.999999e-01,1.000000e+00,4.117529e-08,1.920151e-04,1.919862e-04,-1.504198e-04
1.200000e-02,2.094588e-04,2.094395e-04,-9.196863e-05,9.999999e-01,1.000000e+00,9.727684e-08,2.094588e-04,2.094395e-04,-9.208565e-05
1.300000e-02,2.269025e-04,2.268928e-04,-4.275114e-05,9.999999e-01,1.000000e+00,9.346912e-08,2.269025e-04,2.268928e-04,-4.285367e-05
1.400000e-02,2.443462e-04,2.443461e-04,-3.863354e-07,9.999999e-01,1.000000e+00,8.935679e-08,2.443462e-04,2.443461e-04,-4.755920e-07
1.500000e-02,2.617899e-04,2.617994e-04,3.616279e-05,9.999999e-01,1.000000e+00,8.493983e-08,2.617899e-04,2.617994e-04,3.608589e-05
1.600000e-02,2.792336e-04,2.792527e-04,6.835143e-05,9.999999e-01,1.000000e+00,8.021826e-08,2.792336e-04,2.792527e-04,6.828620e-05
1.700000e-02,2.966773e-04,2.967060e-04,9.655670e-05,9.999999e-01,1.000000e+00,7.519208e-08,2.966773e-04,2.967060e-04,9.650263e-05
1.800000e-02,3.141876e-04,3.141593e-04,-9.014812e-05,9.999999e-01,1.000000e+00,6.986127e-08,3.141876e-04,3.141593e-04,-9.019141e-05
1.900000e-02,3.316313e-04,3.316125e-04,-5.657030e-05,9.999999e-01,9.999999e-01,6.422585e-08,3.316313e-04,3.316126e-04,-5.660308e-05
