Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
0,-1.25763222058594692498E-09,0.00000000000000000000E+00,INF,1.00000000000000000000E+00,1.00000000000000000000E+00,0.00000000000000000000E+00,-1.25763222058594692498E-09,0.00000000000000000000E+00,INF,-1.96479083364355727392E-09,0.00000000000000000000E+00,INF,1.00000000000000000000E+00,1.00000000000000000000E+00,0.00000000000000000000E+00,-1.96479083364355727392E-09,0.00000000000000000000E+00,INF
1,1.74524050671607255936E-02,1.74524064372835116532E-02,7.85062387731266406625E-08,9.99847695231437683105E-01,9.99847695156391269578E-01,-7.50578756213191960761E-11,1.74550635274499654770E-02,1.74550649282175854293E-02,8.02499232030197213709E-08,1.74524045002264482918E-02,1.74524064372835116532E-02,1.10990829277463938589E-07,9.99847695190202889748E-01,9.99847695156391269578E-01,-3.38167706283161140262E-11,1.74550629902751781863E-02,1.74550649282175854293E-02,1.11024646153572303978E-07
2,3.48994960077106952667E-02,3.48994967025009691919E-02,1.99083179254017793326E-08,9.99390833079814910889E-01,9.99390827019095762118E-01,-6.06441345768530199736E-09,3.49207688122987747192E-02,3.49207694917477301511E-02,1.94568723736536812195E-08,3.48994947616980064065E-02,3.48994967025009691919E-02,5.56112020562847891130E-08,9.99390827086870658924E-01,9.99390827019095762118E-01,-6.78162086078234809763E-11,3.49207675473935663657E-02,3.49207694917477301511E-02,5.56790183058490166387E-08
3,5.23359542712569236755E-02,5.23359562429438276987E-02,3.76736577726013665484E-08,9.98629540205001831055E-01,9.98629534754573833233E-01,-5.45790783003612615771E-09,5.24077769368886947632E-02,5.24077792830411962055E-02,4.47672566364364114881E-08,5.23359543139439511994E-02,5.23359562429438276987E-02,3.68580229535670523807E-08,9.98629534855668632432E-01,9.98629534754573833233E-01,-1.01233536241710816495E-10,5.24077773460886464640E-02,5.24077792830411962055E-02,3.69592563592606030413E-08
4,6.97564724832773208618E-02,6.97564737441253024386E-02,1.80749959260052168438E-08,9.97564043849706649780E-01,9.97564050259824197653E-01,6.42577045177760076474E-09,6.99268109165132045746E-02,6.99268119435104140713E-02,1.46867443168545434643E-08,6.97564718217876383877E-02,6.97564737441253024386E-02,2.75578388767510707243E-08,9.97564050394247225917E-01,9.97564050259824197653E-01,-1.34751275598835742905E-10,6.99268100070558756842E-02,6.99268119435104140713E-02,2.76925900747689153431E-08
5,8.71557407081127166748E-02,8.71557427476581658699E-02,2.34011596672796484848E-08,9.96194705367088317871E-01,9.96194698091745545199E-01,-7.30313341265662400234E-09,8.74886610545217990875E-02,8.74886635259240069695E-02,2.82482564203369350568E-08,8.71557402354511123743E-02,8.71557427476581658699E-02,2.88243433455569018979E-08,9.96194698311535509205E-01,9.96194698091745545199E-01,-2.20629525962786012796E-10,8.74886609848181395765E-02,8.74886635259240069695E-02,2.90449729711554752007E-08
6,1.04528462514281272888E-01,1.04528463267653456970E-01,7.20734014736445088150E-09,9.94521893560886383057E-01,9.94521895368273289861E-01,1.81734254740265436413E-09,1.05104234535247087479E-01,1.05104235265676457245E-01,6.94957119836555231168E-09,1.04528460756170948898E-01,1.04528463267653456970E-01,2.40267811231570556336E-08,9.94521895632240804375E-01,9.94521895368273289861E-01,-2.65421521378922745437E-10,1.05104232712463066535E-01,1.05104235265676457245E-01,2.42922027286186361821E-08
7,1.21869341470301151276E-01,1.21869343405147476100E-01,1.58763990776572155728E-08,9.92546156048774719238E-01,9.92546151641321983128E-01,-4.44055188480769162876E-09,1.22784558217972517014E-01,1.22784560902904599233E-01,2.18670169588377344543E-08,1.21869340908916046207E-01,1.21869343405147476100E-01,2.04828495842073458640E-08,9.92546151947820920469E-01,9.92546151641321983128E-01,-3.08800690864115706942E-10,1.22784558350010938876E-01,1.22784560902904599233E-01,2.07916503637269981213E-08
8,1.39173099771142005920E-01,1.39173100960065437848E-01,8.54276744323799399031E-09,9.90268066525459289551E-01,9.90268068741570361979E-01,2.23789001767725295422E-09,1.40540833584964275360E-01,1.40540834702391453925E-01,7.95090744578793739736E-09,1.39173098502430397927E-01,1.39173100960065437848E-01,1.76588365349853082046E-08,9.90268069086968516501E-01,9.90268068741570361979E-01,-3.48792579933420964063E-10,1.40540832171584195720E-01,1.40540834702391453925E-01,1.80076293382242882195E-08
9,1.56434466131031513214E-01,1.56434465040230868960E-01,-6.97289213071638274307E-09,9.87688336521387100220E-01,9.87688340595137770350E-01,4.12453044092181412749E-09,1.58384442329406738281E-01,1.58384440324536274192E-01,-1.26582538449556232747E-08,1.56434462603595891839E-01,1.56434465040230868960E-01,1.55760751091158173126E-08,9.87688340981063173096E-01,9.87688340595137770350E-01,-3.90736011436083302613E-10,1.58384437795641846991E-01,1.58384440324536274192E-01,1.59668110201911405451E-08
