Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
0,1.065018e-09,0.000000e+00,nan,1.000000e+00,1.000000e+00,-1.490116e-08,1.065018e-09,0.000000e+00,nan
1,1.745241e-02,1.745241e-02,-1.067271e-07,9.998477e-01,9.998477e-01,3.725857e-09,1.745507e-02,1.745507e-02,-1.333886e-08
2,3.489950e-02,3.489950e-02,-8.005753e-08,9.993908e-01,9.993908e-01,-3.727560e-09,3.492077e-02,3.492077e-02,0.000000e+00
3,5.233596e-02,5.233596e-02,1.779508e-08,9.986296e-01,9.986295e-01,-4.103443e-08,5.240778e-02,5.240778e-02,4.442673e-08
4,6.975647e-02,6.975647e-02,-5.340422e-08,9.975641e-01,9.975641e-01,2.240632e-08,6.992681e-02,6.992681e-02,1.331853e-08
5,8.715574e-02,8.715574e-02,-7.480010e-08,9.961947e-01,9.961947e-01,3.739521e-09,8.748866e-02,8.748866e-02,-4.258027e-08
6,1.045285e-01,1.045285e-01,-1.336463e-08,9.945219e-01,9.945219e-01,1.123743e-08,1.051042e-01,1.051042e-01,8.860940e-09
7,1.218693e-01,1.218693e-01,2.674692e-08,9.925462e-01,9.925461e-01,-2.627286e-08,1.227846e-01,1.227846e-01,1.896253e-08
8,1.391731e-01,1.391731e-01,3.345914e-08,9.902681e-01,9.902681e-01,-2.633330e-08,1.405408e-01,1.405408e-01,3.313352e-08
9,1.564345e-01,1.564345e-01,5.953436e-08,9.876883e-01,9.876884e-01,1.508690e-08,1.583844e-01,1.583844e-01,5.880139e-09
10,1.736482e-01,1.736482e-01,5.363272e-09,9.848078e-01,9.848077e-01,-3.026207e-08,1.763270e-01,1.763270e-01,-2.640896e-08
11,1.908090e-01,1.908090e-01,0.000000e+00,9.816272e-01,9.816272e-01,-2.656511e-08,1.943803e-01,1.943803e-01,2.395620e-08
12,2.079117e-01,2.079117e-01,3.583531e-08,9.781476e-01,9.781476e-01,1.904257e-08,2.125566e-01,2.125566e-01,3.943376e-08
13,2.249511e-01,2.249510e-01,-4.968135e-08,9.743701e-01,9.743701e-01,-7.646562e-09,2.308682e-01,2.308682e-01,0.000000e+00
14,2.419219e-01,2.419219e-01,1.154905e-08,9.702957e-01,9.702957e-01,-7.678668e-09,2.493280e-01,2.493280e-01,-7.470661e-09
15,2.588190e-01,2.588190e-01,-1.439342e-08,9.659258e-01,9.659258e-01,-1.542682e-08,2.679492e-01,2.679492e-01,0.000000e+00
16,2.756374e-01,2.756374e-01,-6.757594e-09,9.612617e-01,9.612617e-01,-2.712792e-08,2.867454e-01,2.867454e-01,-5.196652e-08
17,2.923717e-01,2.923717e-01,-5.733732e-08,9.563048e-01,9.563048e-01,1.558202e-08,3.057307e-01,3.057307e-01,-2.436975e-08
18,3.090170e-01,3.090170e-01,6.027646e-09,9.510565e-01,9.510565e-01,7.834004e-09,3.249197e-01,3.249197e-01,1.146526e-08
19,3.255682e-01,3.255681e-01,-4.576971e-08,9.455186e-01,9.455186e-01,-2.363966e-08,3.443276e-01,3.443276e-01,-4.327612e-08
20,3.420201e-01,3.420201e-01,-6.535213e-08,9.396926e-01,9.396926e-01,-1.585749e-08,3.639702e-01,3.639702e-01,-3.582304e-08
21,3.583679e-01,3.583679e-01,0.000000e+00,9.335804e-01,9.335804e-01,-4.389359e-08,3.838640e-01,3.838640e-01,3.881885e-08
22,3.746066e-01,3.746066e-01,-9.944539e-09,9.271839e-01,9.271839e-01,-4.017854e-09,4.040262e-01,4.040262e-01,7.837355e-08
