Angle, Posit-sin, Mathlib-sin, Error, Posit-cos, Mathlib-cos, Error, Posit-tan, Mathlib-tan, Error 
1.000000e-03,1.745309e-05,1.745329e-05,1.141214e-05,1.000000e+00,1.000000e+00,-1.490116e-08,1.745309e-05,1.745329e-05,1.141214e-05
2.000000e-03,3.490512e-05,3.490658e-05,4.200083e-05,1.000000e+00,1.000000e+00,-1.490116e-08,3.490512e-05,3.490658e-05,4.200083e-05
3.000000e-03,5.235715e-05,5.235988e-05,5.214495e-05,1.000000e+00,1.000000e+00,-1.490116e-08,5.235715e-05,5.235988e-05,5.214495e-05
4.000000e-03,6.981750e-05,6.981317e-05,-6.201115e-05,1.000000e+00,1.000000e+00,-1.862645e-08,6.981750e-05,6.981317e-05,-6.201115e-05
5.000000e-03,8.726952e-05,8.726646e-05,-3.510144e-05,1.000000e+00,1.000000e+00,-1.117587e-08,8.726952e-05,8.726646e-05,-3.510144e-05
6.000000e-03,1.047215e-04,1.047198e-04,-1.712689e-05,1.000000e+00,1.000000e+00,-1.117587e-08,1.047215e-04,1.047198e-04,-1.712689e-05
7.000000e-03,1.221736e-04,1.221730e-04,-4.287926e-06,1.000000e+00,1.000000e+00,-1.490116e-08,1.221736e-04,1.221730e-04,-4.287926e-06
8.000000e-03,1.396256e-04,1.396263e-04,5.211021e-06,1.000000e+00,1.000000e+00,-1.117587e-08,1.396256e-04,1.396263e-04,5.211021e-06
9.000000e-03,1.570776e-04,1.570796e-04,1.269173e-05,1.000000e+00,1.000000e+00,-1.117587e-08,1.570776e-04,1.570796e-04,1.269173e-05
1.000000e-02,1.745380e-04,1.745329e-04,-2.901496e-05,1.000000e+00,1.000000e+00,-7.450581e-09,1.745380e-04,1.745329e-04,-2.897328e-05
1.100000e-02,1.919900e-04,1.919862e-04,-1.978293e-05,1.000000e+00,1.000000e+00,-1.117587e-08,1.919900e-04,1.919862e-04,-1.974503e-05
1.200000e-02,2.094420e-04,2.094395e-04,-1.205483e-05,1.000000e+00,1.000000e+00,-7.450581e-09,2.094420e-04,2.094395e-04,-1.205483e-05
1.300000e-02,2.268941e-04,2.268928e-04,-5.547733e-06,1.000000e+00,1.000000e+00,-3.725290e-09,2.268941e-04,2.268928e-04,-5.547733e-06
1.400000e-02,2.443461e-04,2.443461e-04,2.977726e-08,1.000000e+00,1.000000e+00,-7.450581e-09,2.443461e-04,2.443461e-04,2.977726e-08
1.500000e-02,2.617981e-04,2.617994e-04,4.863619e-06,1.000000e+00,1.000000e+00,-7.450581e-09,2.617981e-04,2.617994e-04,4.863619e-06
1.600000e-02,2.792501e-04,2.792527e-04,9.093232e-06,1.000000e+00,1.000000e+00,-3.725290e-09,2.792501e-04,2.792527e-04,9.119286e-06
1.700000e-02,2.967105e-04,2.967060e-04,-1.522844e-05,1.000000e+00,1.000000e+00,-1.117587e-08,2.967105e-04,2.967060e-04,-1.520392e-05
1.800000e-02,3.141625e-04,3.141593e-04,-1.037572e-05,1.000000e+00,1.000000e+00,-7.450581e-09,3.141625e-04,3.141593e-04,-1.037572e-05
1.900000e-02,3.316145e-04,3.316125e-04,-6.011872e-06,1.000000e+00,9.999999e-01,-1.117587e-08,3.316146e-04,3.316126e-04,-6.011872e-06
2.000000e-02,3.490666e-04,3.490658e-04,-2.084408e-06,9.999999e-01,9.999999e-01,-7.450581e-09,3.490666e-04,3.490659e-04,-2.084408e-06
2.100000e-02,3.665186e-04,3.665191e-04,1.469012e-06,9.999999e-01,9.999999e-01,-7.450581e-09,3.665186e-04,3.665192e-04,1.469012e-06
2.200000e-02,3.839706e-04,3.839724e-04,4.699393e-06,9.999999e-01,9.999999e-01,-1.117587e-08,3.839706e-04,3.839725e-04,4.718342e-06
2.300000e-02,4.014227e-04,4.014257e-04,7.612622e-06,9.999999e-01,9.999999e-01,-1.117587e-08,4.014227e-04,4.014257e-04,7.612621e-06
2.400000e-02,4.188830e-04,4.188790e-04,-9.553539e-06,9.999999e-01,9.999999e-01,-1.117587e-08,4.188830e-04,4.188790e-04,-9.553538e-06
2.500000e-02,4.363350e-04,4.363323e-04,-6.269900e-06,9.999999e-01,9.999999e-01,-1.117587e-08,4.363351e-04,4.363323e-04,-6.253224e-06
2.600000e-02,4.537871e-04,4.537856e-04,-3.238850e-06,9.999999e-01,9.999999e-01,-1.490116e-08,4.537871e-04,4.537856e-04,-3.222816e-06
2.700000e-02,4.712391e-04,4.712389e-04,-4.323218e-07,9.999999e-01,9.999999e-01,-7.450581e-09,4.712391e-04,4.712389e-04,-4.323217e-07
2.800000e-02,4.886911e-04,4.886922e-04,2.143963e-06,9.999999e-01,9.999999e-01,-1.117587e-08,4.886912e-04,4.886922e-04,2.143963e-06
2.900000e-02,5.061431e-04,5.061455e-04,4.571323e-06,9.999999e-01,9.999999e-01,-1.117587e-08,5.061432e-04,5.061455e-04,4.571323e-06
3.000000e-02,5.236035e-04,5.235987e-04,-9.060229e-06,9.999999e-01,9.999999e-01,-1.490116e-08,5.236036e-04,5.235988e-04,-9.032436e-06
3.100000e-02,5.410555e-04,5.410520e-04,-6.428047e-06,9.999999e-01,9.999999e-01,-7.450581e-09,5.410556e-04,5.410521e-04,-6.428046e-06
3.200000e-02,5.585075e-04,5.585053e-04,-3.960376e-06,9.999999e-01,9.999998e-01,-1.117587e-08,5.585076e-04,5.585054e-04,-3.960376e-06
3.300000e-02,5.759595e-04,5.759586e-04,-1.591730e-06,9.999998e-01,9.999998e-01,-1.117587e-08,5.759596e-04,5.759587e-04,-1.591730e-06
3.400000e-02,5.934116e-04,5.934119e-04,5.885389e-07,9.999998e-01,9.999998e-01,-1.117587e-08,5.934117e-04,5.934120e-04,5.885388e-07
3.500000e-02,6.108636e-04,6.108652e-04,2.644221e-06,9.999998e-01,9.999998e-01,-1.490116e-08,6.108637e-04,6.108653e-04,2.644221e-06
3.600000e-02,6.283156e-04,6.283185e-04,4.562538e-06,9.999998e-01,9.999998e-01,-1.490116e-08,6.283157e-04,6.283186e-04,4.585698e-06
3.700000e-02,6.457760e-04,6.457718e-04,-6.534902e-06,9.999998e-01,9.999998e-01,-1.862646e-08,6.457761e-04,6.457719e-04,-6.489833e-06
3.800000e-02,6.632280e-04,6.632251e-04,-4.454052e-06,9.999998e-01,9.999998e-01,-7.450581e-09,6.632282e-04,6.632252e-04,-4.454051e-06
3.900000e-02,6.806800e-04,6.806784e-04,-2.479912e-06,9.999998e-01,9.999998e-01,-1.117587e-08,6.806802e-04,6.806785e-04,-2.458532e-06
4.000000e-02,6.981321e-04,6.981316e-04,-6.044785e-07,9.999998e-01,9.999998e-01,-3.725292e-09,6.981322e-04,6.981318e-04,-5.836342e-07
