Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
0,-1.2576322206E-09,0.0000000000E+00,INF,1.0000000000E+00,1.0000000000E+00,0.0000000000E+00,-1.2576322206E-09,0.0000000000E+00,INF,-1.9647908336E-09,0.0000000000E+00,INF,1.0000000000E+00,1.0000000000E+00,0.0000000000E+00,-1.9647908336E-09,0.0000000000E+00,INF
1,1.7452405067E-02,1.7452406437E-02,7.8506238773E-08,9.9984769523E-01,9.9984769516E-01,-7.5057875621E-11,1.7455063527E-02,1.7455064928E-02,8.0249923203E-08,1.7452404500E-02,1.7452406437E-02,1.1099082928E-07,9.9984769519E-01,9.9984769516E-01,-3.3816770628E-11,1.7455062990E-02,1.7455064928E-02,1.1102464615E-07
2,3.4899496008E-02,3.4899496703E-02,1.9908317925E-08,9.9939083308E-01,9.9939082702E-01,-6.0644134577E-09,3.4920768812E-02,3.4920769492E-02,1.9456872374E-08,3.4899494762E-02,3.4899496703E-02,5.5611202056E-08,9.9939082709E-01,9.9939082702E-01,-6.7816208608E-11,3.4920767547E-02,3.4920769492E-02,5.5679018306E-08
3,5.2335954271E-02,5.2335956243E-02,3.7673657773E-08,9.9862954021E-01,9.9862953475E-01,-5.4579078300E-09,5.2407776937E-02,5.2407779283E-02,4.4767256636E-08,5.2335954314E-02,5.2335956243E-02,3.6858022954E-08,9.9862953486E-01,9.9862953475E-01,-1.0123353624E-10,5.2407777346E-02,5.2407779283E-02,3.6959256359E-08
4,6.9756472483E-02,6.9756473744E-02,1.8074995926E-08,9.9756404385E-01,9.9756405026E-01,6.4257704518E-09,6.9926810917E-02,6.9926811944E-02,1.4686744317E-08,6.9756471822E-02,6.9756473744E-02,2.7557838877E-08,9.9756405039E-01,9.9756405026E-01,-1.3475127560E-10,6.9926810007E-02,6.9926811944E-02,2.7692590075E-08
5,8.7155740708E-02,8.7155742748E-02,2.3401159667E-08,9.9619470537E-01,9.9619469809E-01,-7.3031334127E-09,8.7488661055E-02,8.7488663526E-02,2.8248256420E-08,8.7155740235E-02,8.7155742748E-02,2.8824343346E-08,9.9619469831E-01,9.9619469809E-01,-2.2062952596E-10,8.7488660985E-02,8.7488663526E-02,2.9044972971E-08
6,1.0452846251E-01,1.0452846327E-01,7.2073401474E-09,9.9452189356E-01,9.9452189537E-01,1.8173425474E-09,1.0510423454E-01,1.0510423527E-01,6.9495711984E-09,1.0452846076E-01,1.0452846327E-01,2.4026781123E-08,9.9452189563E-01,9.9452189537E-01,-2.6542152138E-10,1.0510423271E-01,1.0510423527E-01,2.4292202729E-08
7,1.2186934147E-01,1.2186934341E-01,1.5876399078E-08,9.9254615605E-01,9.9254615164E-01,-4.4405518848E-09,1.2278455822E-01,1.2278456090E-01,2.1867016959E-08,1.2186934091E-01,1.2186934341E-01,2.0482849584E-08,9.9254615195E-01,9.9254615164E-01,-3.0880069086E-10,1.2278455835E-01,1.2278456090E-01,2.0791650364E-08
8,1.3917309977E-01,1.3917310096E-01,8.5427674432E-09,9.9026806653E-01,9.9026806874E-01,2.2378900177E-09,1.4054083358E-01,1.4054083470E-01,7.9509074458E-09,1.3917309850E-01,1.3917310096E-01,1.7658836535E-08,9.9026806909E-01,9.9026806874E-01,-3.4879257993E-10,1.4054083217E-01,1.4054083470E-01,1.8007629338E-08
9,1.5643446613E-01,1.5643446504E-01,-6.9728921307E-09,9.8768833652E-01,9.8768834060E-01,4.1245304409E-09,1.5838444233E-01,1.5838444032E-01,-1.2658253845E-08,1.5643446260E-01,1.5643446504E-01,1.5576075109E-08,9.8768834098E-01,9.8768834060E-01,-3.9073601144E-10,1.5838443780E-01,1.5838444032E-01,1.5966811020E-08
